,AIC,SC,Brier,PR AUC
12M_PCA_Gosset,1.1910784933063767,1.20277699037876,0.022419353513690704,0.15633972703435042
12M_PCA_Gompit,1.1956006840275162,1.2072991810998994,0.02344632336904326,0.1551730158301145
12M_PCA_Logit,1.2051709560299448,1.216869453102328,0.023204364143177992,0.15334674759862102
12M_PCA_Probit,1.2192573540494693,1.2309558511218526,0.024928280248277247,0.14978966364880877
12M_PCA_Log-log,1.2403589787349338,1.252057475807317,0.027805469693892172,0.14336568185104231
18M_Benchmark_Probit,1.1441037020401126,1.151198466244058,0.02476920978088943,0.0841899958904327
18M_Benchmark_Gosset,1.0481587696372836,1.055253533841229,0.03056652906796717,0.0837869502572138
18M_Benchmark_Logit,1.126843450928254,1.1339382151321995,0.024669605121840067,0.0837869502572138
18M_Benchmark_Log-log,1.1605598461232172,1.1676546103271626,0.024741539379172357,0.08374570571065941
18M_Benchmark_Gompit,1.1162239930419156,1.123318757245861,0.0254134251184919,0.0837181816262459
24M_Benchmark_Gosset,0.9907797754560277,0.9979495456876974,0.02132563120435767,0.053859922048950466
24M_Benchmark_Probit,0.9907623355862052,0.997932105817875,0.021325814356367732,0.053842143999731175
24M_Benchmark_Logit,1.0037092536278898,1.0108790238595595,0.021193666272270376,0.053842143999731175
24M_Benchmark_Log-log,0.9744923650014423,0.9816621352331121,0.021855582824148498,0.05384214399973117
24M_Benchmark_Gompit,1.0207042709911944,1.0278740412228642,0.020734215504047977,0.05382694148200421
6M_Benchmark_Log-log,1.6816890785194163,1.6886342360537783,0.03053898161037044,0.047958613808112685
6M_Benchmark_Gosset,1.6837347023637705,1.6906798598981325,0.03023427218569946,0.04762971771810712
6M_Benchmark_Gompit,1.685927988689802,1.692873146224164,0.02991928036648121,0.04762717983210597
6M_Benchmark_Probit,1.6837230303017672,1.6906681878361292,0.0302302159210432,0.04760686601106778
6M_Benchmark_Logit,1.68532985878242,1.692275016316782,0.030017267028087664,0.047583942983305545
12M_Benchmark_Gompit,1.418991097557263,1.426010195800693,0.035521668219593065,0.04674212213286938
12M_Benchmark_Probit,1.4227171035749948,1.4297362018184248,0.03334587507027193,0.046153015320287316
12M_Benchmark_Logit,1.421420992906711,1.428440091150141,0.0341098982819688,0.0461297082092109
12M_Benchmark_Log-log,1.4241742768398227,1.4311933750832526,0.032636552244748665,0.046083426976636664
12M_Benchmark_Gosset,1.3984534384596587,1.4054725367030887,0.05498635778402368,0.04597639588789583
18M_PCA_Log-log,0.9632956771481067,0.9751202841546823,0.05514743320812894,0.04428185149614786
18M_PCA_Probit,0.9623882798605512,0.9742128868671268,0.06437778335682008,0.043649508826161226
18M_PCA_Gosset,0.9624003724347735,0.9742249794413491,0.06439595988842209,0.0436478657702086
18M_PCA_Logit,0.9667404923236387,0.9785650993302143,0.07091594751793098,0.04357450557347035
18M_PCA_Gompit,0.9683086613382977,0.9801332683448734,0.0883728430782102,0.042714339092204276
24M_PCA_Log-log,0.9089457488039758,0.9208953658567589,0.08128413608536529,0.037814852373816675
24M_PCA_Probit,0.9154577278723284,0.9274073449251115,0.08074733192252921,0.03758263853790689
24M_PCA_Gosset,0.9154624682655317,0.9274120853183148,0.08074597476004038,0.03758263853790689
24M_PCA_Logit,0.9230151370594954,0.9349647541122785,0.08010775076554175,0.03753645097104007
24M_PCA_Gompit,0.9233767696451003,0.9353263866978834,0.09763992350864577,0.03693849992535155
6M_PCA_Log-log,1.542023183691276,1.553598446248546,0.02864001790401541,0.03169030265942758
6M_PCA_Probit,1.5250317949618433,1.5366070575191133,0.029370225703092355,0.02878317981731382
6M_PCA_Logit,1.5074094497244697,1.5189847122817397,0.030108295565390665,0.027437407602409175
6M_PCA_Gompit,1.4957801051884911,1.5073553677457612,0.03309126660396184,0.02687513419989825
6M_PCA_Gosset,1.4325058721193007,1.4440811346765707,0.03419422760028558,0.023882830881404603
